depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;144703216;11.3;52.03397314;12.1715582;03/08/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155102172;9.6;41.63189317;24.3104519;07/06/18;0;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155102178;81.1;41.6850222;24.32302305;28/09/18;0;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;155102204;15.6;41.91518869;24.37784097;17/08/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;155102294;15.9;42.71117849;24.5719928;17/04/18;0;Cropland;Permanent industrial crops;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155142186;29.1;41.7490031;24.38711258;18/08/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;145203194;9.1;51.82079833;12.88694674;13/06/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155182166;26.3;41.56508306;24.39220611;18/08/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;155182202;20.8;41.88372806;24.46836724;29/09/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;155202268;20.8;42.46393665;24.63472998;18/09/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155262182;63;41.69292432;24.52038833;28/09/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;155262206;25.1;41.90526404;24.57167344;25/09/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;155282244;6.7;42.23779822;24.67768368;18/07/18;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155282262;15.6;42.39688959;24.71711096;18/09/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155302200;24.3;41.84523166;24.60614219;25/08/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;155302218;13;42.00442638;24.6449505;26/08/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;155302228;7.8;42.09284768;24.66662963;26/08/18;0;Grassland;Spontaneously re-vegetated surfaces;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155302246;8.5;42.25196971;24.70586794;10/08/18;0;Grassland;Spontaneously re-vegetated surfaces;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155322204;59.3;41.87712399;24.63841967;26/09/18;0;Grassland;Grassland with sparse tree/shrub cover;Semi-natural and natural areas not in use
0-20 cm;155342278;7.3;42.52766763;24.82415753;17/09/18;0;Cropland;Lucerne;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155362162;17.1;41.49859188;24.59572443;27/09/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;155362180;22;41.6578542;24.63413291;18/08/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155362256;10.1;42.32977615;24.79932417;24/09/18;0;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;155362288;10.5;42.61244064;24.87037349;17/04/18;0;Grassland;Spontaneously re-vegetated surfaces;Fallow land
