depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;138483116;9.6;50.95894988;3.256955227;14/08/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138543122;9;51.01756175;3.334321676;10/08/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139223078;13.8;50.67503227;4.349159218;30/08/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138743106;11.8;50.89038552;3.638145189;26/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138743146;17.6;51.24836094;3.588583974;26/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138883118;15.7;51.00857528;3.822209011;29/07/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138583072;29.7;50.57343837;3.454375845;24/05/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138943130;16.9;51.12052998;3.893248614;21/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138603088;18;50.71821903;3.462524473;30/05/2018;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;138723078;9.5;50.63821178;3.644095755;06/06/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139063124;15.9;51.07567796;4.071079834;20/09/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139083090;12.6;50.7726359;4.138158461;20/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139123108;12.3;50.93671902;4.17454053;21/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139083042;11.1;50.34269072;4.191626326;22/06/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139263060;15.6;50.51651432;4.424822608;03/07/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139283056;15.4;50.48203607;4.45717952;02/07/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139183118;22.8;51.03055035;4.248557275;21/08/2018;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139783064;13.1;50.58560494;5.152973862;27/08/2018;0;Cropland;Potatoes;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;139883048;19.5;50.44796303;5.308265418;11/06/2018;0;Cropland;Sugar beet;Agriculture (excluding fallow land and kitchen gardens)
